"","EVENT_ID","ROLE","start","end","color","mid","dur"
"150",169,"SwitchFilter",2025-07-29 01:33:37,2025-07-29 01:33:37,"royalblue",2025-07-29 01:33:37,0
"151",170,"TakeExposure",2025-07-29 01:33:37,2025-07-29 01:36:38,"royalblue",2025-07-29 01:35:07.5,181
"152",171,"SwitchFilter",2025-07-29 01:36:38,2025-07-29 01:36:38,"royalblue",2025-07-29 01:36:38,0
"153",172,"TakeExposure",2025-07-29 01:36:38,2025-07-29 01:39:38,"royalblue",2025-07-29 01:38:08,180
"154",173,"SwitchFilter",2025-07-29 01:39:38,2025-07-29 01:39:38,"royalblue",2025-07-29 01:39:38,0
"155",174,"TakeExposure",2025-07-29 01:39:38,2025-07-29 01:42:39,"royalblue",2025-07-29 01:41:08.5,181
"156",175,"SwitchFilter",2025-07-29 01:42:39,2025-07-29 01:42:39,"royalblue",2025-07-29 01:42:39,0
"157",176,"TakeExposure",2025-07-29 01:42:39,2025-07-29 01:45:39,"royalblue",2025-07-29 01:44:09,180
"158",177,"SwitchFilter",2025-07-29 01:45:40,2025-07-29 01:45:40,"royalblue",2025-07-29 01:45:40,0
"159",178,"TakeExposure",2025-07-29 01:45:40,2025-07-29 01:48:40,"royalblue",2025-07-29 01:47:10,180
"160",179,"SwitchFilter",2025-07-29 01:48:40,2025-07-29 01:48:40,"royalblue",2025-07-29 01:48:40,0
"161",180,"TakeExposure",2025-07-29 01:48:40,2025-07-29 01:51:41,"royalblue",2025-07-29 01:50:10.5,181
"162",181,"SwitchFilter",2025-07-29 01:51:41,2025-07-29 01:51:41,"royalblue",2025-07-29 01:51:41,0
"163",182,"TakeExposure",2025-07-29 01:51:41,2025-07-29 01:54:41,"royalblue",2025-07-29 01:53:11,180
"164",183,"SwitchFilter",2025-07-29 01:54:41,2025-07-29 01:54:41,"royalblue",2025-07-29 01:54:41,0
"165",184,"TakeExposure",2025-07-29 01:54:41,2025-07-29 01:57:42,"royalblue",2025-07-29 01:56:11.5,181
"166",185,"SwitchFilter",2025-07-29 01:57:42,2025-07-29 01:57:42,"royalblue",2025-07-29 01:57:42,0
"167",186,"TakeExposure",2025-07-29 01:57:42,2025-07-29 02:00:42,"royalblue",2025-07-29 01:59:12,180
"168",187,"SwitchFilter",2025-07-29 02:00:42,2025-07-29 02:00:42,"royalblue",2025-07-29 02:00:42,0
"169",188,"TakeExposure",2025-07-29 02:00:42,2025-07-29 02:03:43,"royalblue",2025-07-29 02:02:12.5,181
"170",189,"SwitchFilter",2025-07-29 02:03:43,2025-07-29 02:03:43,"royalblue",2025-07-29 02:03:43,0
"171",190,"TakeExposure",2025-07-29 02:03:43,2025-07-29 02:06:44,"royalblue",2025-07-29 02:05:13.5,181
"172",191,"SwitchFilter",2025-07-29 02:06:44,2025-07-29 02:06:44,"royalblue",2025-07-29 02:06:44,0
"173",192,"TakeExposure",2025-07-29 02:06:44,2025-07-29 02:09:44,"royalblue",2025-07-29 02:08:14,180
"174",193,"SwitchFilter",2025-07-29 02:09:44,2025-07-29 02:09:44,"royalblue",2025-07-29 02:09:44,0
"175",194,"TakeExposure",2025-07-29 02:09:44,2025-07-29 02:12:45,"royalblue",2025-07-29 02:11:14.5,181
"176",195,"SwitchFilter",2025-07-29 02:12:45,2025-07-29 02:12:45,"royalblue",2025-07-29 02:12:45,0
"177",196,"TakeExposure",2025-07-29 02:12:45,2025-07-29 02:15:45,"royalblue",2025-07-29 02:14:15,180
"178",197,"MeridianFlip",2025-07-29 02:15:45,2025-07-29 02:42:51,"royalblue",2025-07-29 02:29:18,1626
"179",198,"SwitchFilter",2025-07-29 02:42:51,2025-07-29 02:47:51,"royalblue",2025-07-29 02:45:21,300
"180",200,"SwitchFilter",2025-07-29 02:47:51,2025-07-29 02:52:51,"royalblue",2025-07-29 02:50:21,300
"181",202,"SwitchFilter",2025-07-29 02:52:51,2025-07-29 02:57:51,"royalblue",2025-07-29 02:55:21,300
"182",204,"SwitchFilter",2025-07-29 02:57:51,2025-07-29 03:02:51,"royalblue",2025-07-29 03:00:21,300
"183",206,"SwitchFilter",2025-07-29 03:02:52,2025-07-29 03:07:52,"royalblue",2025-07-29 03:05:22,300
"184",208,"SwitchFilter",2025-07-29 03:07:52,2025-07-29 03:12:52,"royalblue",2025-07-29 03:10:22,300
"185",210,"SwitchFilter",2025-07-29 03:12:52,2025-07-29 03:17:52,"royalblue",2025-07-29 03:15:22,300
"186",212,"SwitchFilter",2025-07-29 03:17:52,2025-07-29 03:22:52,"royalblue",2025-07-29 03:20:22,300
"187",214,"SwitchFilter",2025-07-29 03:22:52,2025-07-29 03:27:52,"royalblue",2025-07-29 03:25:22,300
"188",216,"SwitchFilter",2025-07-29 03:27:53,2025-07-29 03:32:53,"royalblue",2025-07-29 03:30:23,300
"189",218,"Dither",2025-07-29 03:32:53,2025-07-29 03:32:53,"royalblue",2025-07-29 03:32:53,0
"190",220,"SwitchFilter",2025-07-29 03:32:53,2025-07-29 03:37:53,"royalblue",2025-07-29 03:35:23,300
"191",222,"SwitchFilter",2025-07-29 03:37:53,2025-07-29 03:42:53,"royalblue",2025-07-29 03:40:23,300
"192",224,"SwitchFilter",2025-07-29 03:42:53,2025-07-29 03:47:53,"royalblue",2025-07-29 03:45:23,300
"193",226,"SwitchFilter",2025-07-29 03:47:54,2025-07-29 03:52:54,"royalblue",2025-07-29 03:50:24,300
"194",228,"SwitchFilter",2025-07-29 03:52:54,2025-07-29 03:57:54,"royalblue",2025-07-29 03:55:24,300
"195",230,"SwitchFilter",2025-07-29 03:57:54,2025-07-29 04:02:54,"royalblue",2025-07-29 04:00:24,300
"196",232,"SwitchFilter",2025-07-29 04:02:54,2025-07-29 04:07:54,"royalblue",2025-07-29 04:05:24,300
"197",234,"SwitchFilter",2025-07-29 04:07:55,2025-07-29 04:12:55,"royalblue",2025-07-29 04:10:25,300
"198",236,"SwitchFilter",2025-07-29 04:12:55,2025-07-29 04:17:55,"royalblue",2025-07-29 04:15:25,300
"199",238,"SwitchFilter",2025-07-29 04:17:55,2025-07-29 04:22:55,"royalblue",2025-07-29 04:20:25,300
"200",240,"SwitchFilter",2025-07-29 04:22:56,2025-07-29 04:27:56,"royalblue",2025-07-29 04:25:26,300
"201",242,"SwitchFilter",2025-07-29 04:27:56,2025-07-29 04:32:56,"royalblue",2025-07-29 04:30:26,300
