DATE,LEVEL,SOURCE,MEMBER,LINE,MESSAGE
2025-07-08T22:37:13.7253,INFO,HocusFocusStarDetection.cs,Detect,410,Average HFR: 2.1261591246514855, HFR MAD: 0.2122880647900438, Detected Stars 38, Region: 0
2025-07-08T22:37:19.1826,INFO,CameraVM.cs,Capture,737,Starting Exposure - Exposure Time: 1s; Filter: L; Gain: 250; Offset 50; Binning: 2x2;
2025-07-08T22:37:20.8120,INFO,FocuserVM.cs,MoveFocuserInternal,213,Moving Focuser to position 8110
2025-07-08T22:37:21.6677,INFO,HocusFocusStarDetection.cs,Detect,410,Average HFR: 1.837828935161807, HFR MAD: 0.12602547615624116, Detected Stars 33, Region: 0
2025-07-08T22:37:27.1942,INFO,CameraVM.cs,Capture,737,Starting Exposure - Exposure Time: 1s; Filter: L; Gain: 250; Offset 50; Binning: 2x2;
2025-07-08T22:37:28.8236,INFO,AutoFocusEngine.cs,StartBlindFocusPoints,820,Waiting on initial focuser move analyses
2025-07-08T22:37:29.7298,INFO,HocusFocusStarDetection.cs,Detect,410,Average HFR: 1.6157938000283985, HFR MAD: 0.07763136063013487, Detected Stars 23, Region: 0
2025-07-08T22:37:29.7932,INFO,FocuserVM.cs,MoveFocuserInternal,213,Moving Focuser to position 8060
2025-07-08T22:37:35.2007,INFO,CameraVM.cs,Capture,737,Starting Exposure - Exposure Time: 1s; Filter: L; Gain: 250; Offset 50; Binning: 2x2;
2025-07-08T22:37:36.8227,INFO,AutoFocusEngine.cs,StartBlindFocusPoints,893,Waiting on next left movement analysis
2025-07-08T22:37:37.7072,INFO,HocusFocusStarDetection.cs,Detect,410,Average HFR: 1.6557185317723957, HFR MAD: 0.09319076464880993, Detected Stars 9, Region: 0
2025-07-08T22:37:37.8017,INFO,FocuserVM.cs,MoveFocuserInternal,213,Moving Focuser to position 8010
2025-07-08T22:37:43.1981,INFO,CameraVM.cs,Capture,737,Starting Exposure - Exposure Time: 1s; Filter: L; Gain: 250; Offset 50; Binning: 2x2;
2025-07-08T22:37:44.8173,INFO,AutoFocusEngine.cs,StartBlindFocusPoints,893,Waiting on next left movement analysis
2025-07-08T22:37:45.6767,INFO,HocusFocusStarDetection.cs,Detect,410,Average HFR: 1.6795887348082843, HFR MAD: 0.16433267938056528, Detected Stars 4, Region: 0
2025-07-08T22:37:45.7182,INFO,FocuserVM.cs,MoveFocuserInternal,213,Moving Focuser to position 7960
2025-07-08T22:37:51.1966,INFO,CameraVM.cs,Capture,737,Starting Exposure - Exposure Time: 1s; Filter: L; Gain: 250; Offset 50; Binning: 2x2;
2025-07-08T22:37:52.8167,INFO,AutoFocusEngine.cs,StartBlindFocusPoints,893,Waiting on next left movement analysis
2025-07-08T22:37:53.7517,INFO,HocusFocusStarDetection.cs,Detect,410,Average HFR: 1.6122837602128852, HFR MAD: 0.03601188801122257, Detected Stars 3, Region: 0
2025-07-08T22:37:53.8048,INFO,FocuserVM.cs,MoveFocuserInternal,213,Moving Focuser to position 7910
2025-07-08T22:37:59.1901,INFO,CameraVM.cs,Capture,737,Starting Exposure - Exposure Time: 1s; Filter: L; Gain: 250; Offset 50; Binning: 2x2;
2025-07-08T22:38:00.8154,INFO,AutoFocusEngine.cs,StartBlindFocusPoints,893,Waiting on next left movement analysis
2025-07-08T22:38:01.7509,INFO,HocusFocusStarDetection.cs,Detect,410,Average HFR: 2.1520142795951815, HFR MAD: 0.6106563530573024, Detected Stars 2, Region: 0
2025-07-08T22:38:01.8223,INFO,FocuserVM.cs,MoveFocuserInternal,213,Moving Focuser to position 7860
2025-07-08T22:38:07.2179,INFO,CameraVM.cs,Capture,737,Starting Exposure - Exposure Time: 1s; Filter: L; Gain: 250; Offset 50; Binning: 2x2;
2025-07-08T22:38:08.8372,INFO,AutoFocusEngine.cs,StartBlindFocusPoints,893,Waiting on next left movement analysis
2025-07-08T22:38:09.7442,INFO,HocusFocusStarDetection.cs,Detect,410,Average HFR: 1.6012225563908244, HFR MAD: 0.07167104055374818, Detected Stars 8, Region: 0
2025-07-08T22:38:09.9267,INFO,FocuserVM.cs,MoveFocuserInternal,213,Moving Focuser to position 7810
2025-07-08T22:38:15.2119,INFO,CameraVM.cs,Capture,737,Starting Exposure - Exposure Time: 1s; Filter: L; Gain: 250; Offset 50; Binning: 2x2;
2025-07-08T22:38:16.8380,INFO,AutoFocusEngine.cs,StartBlindFocusPoints,893,Waiting on next left movement analysis
2025-07-08T22:38:17.7611,INFO,HocusFocusStarDetection.cs,Detect,410,Average HFR: 1.6466092818174547, HFR MAD: 0.1324082697242317, Detected Stars 19, Region: 0
2025-07-08T22:38:17.8205,INFO,FocuserVM.cs,MoveFocuserInternal,213,Moving Focuser to position 7760
2025-07-08T22:38:23.2270,INFO,CameraVM.cs,Capture,737,Starting Exposure - Exposure Time: 1s; Filter: L; Gain: 250; Offset 50; Binning: 2x2;
2025-07-08T22:38:24.8503,INFO,AutoFocusEngine.cs,StartBlindFocusPoints,893,Waiting on next left movement analysis
2025-07-08T22:38:25.7413,INFO,HocusFocusStarDetection.cs,Detect,410,Average HFR: 1.8370142712369442, HFR MAD: 0.13663511821903018, Detected Stars 42, Region: 0
2025-07-08T22:38:25.7838,INFO,FocuserVM.cs,MoveFocuserInternal,213,Moving Focuser to position 7710
2025-07-08T22:38:31.1956,INFO,CameraVM.cs,Capture,737,Starting Exposure - Exposure Time: 1s; Filter: L; Gain: 250; Offset 50; Binning: 2x2;
2025-07-08T22:38:32.8172,INFO,AutoFocusEngine.cs,StartBlindFocusPoints,893,Waiting on next left movement analysis
2025-07-08T22:38:33.6630,INFO,HocusFocusStarDetection.cs,Detect,410,Average HFR: 2.2408129568877535, HFR MAD: 0.20697310008641479, Detected Stars 35, Region: 0
2025-07-08T22:38:33.7105,INFO,FocuserVM.cs,MoveFocuserInternal,213,Moving Focuser to position 7660
2025-07-08T22:38:39.2151,INFO,CameraVM.cs,Capture,737,Starting Exposure - Exposure Time: 1s; Filter: L; Gain: 250; Offset 50; Binning: 2x2;
2025-07-08T22:38:40.8390,INFO,AutoFocusEngine.cs,StartBlindFocusPoints,893,Waiting on next left movement analysis
