SubframeSelector module version 1.9.1
Subframe Scale,0.80000
Camera Gain,1.00000
Camera Resolution,"16-bit [0,65535]"
Site Local Midnight,24
Scale Unit,"Arcseconds (arcsec)"
Data Unit,"Normalized to [0,1]"
Trimming Factor,0.10
Structure Layers,5
Noise Layers,0
Hot Pixel Filter Radius,1
Noise Reduction Filter Radius,0
Sensitivity,0.50000
Peak Response,0.500
Maximum Star Distortion,0.600
Upper Limit,1.000
Pedestal,0
Subframe Region,0,0,0,0
PSF Type,"Moffat beta = 4"
Circular PSF,false
Approval expression,""
Weighting expression,""
Index,Approved,Locked,File,Weight,PSF Signal Weight,PSF SNR,PSF Scale,PSF Scale SNR,PSF Count,M*,N*,SNR,FWHM,Eccentricity,Altitude,Azimuth,Median,Median Mean Deviation,Noise,Noise Ratio,Stars,Star Residual,PSF Total Flux,PSF Total Power Flux,PSF Total Mean Flux,PSF Total Mean Power Flux,FWHM Mean Deviation,Eccentricity Mean Deviation,Star Residual Mean Deviation
218,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0288.fits",0.000000e+00,2.945202e-02,1.037335e-01,0.000000e+00,0.000000e+00,1677,1.0619e-03,1.5409e-03,1.7036e+00,2.6159e+00,4.9885e-01,8.4596e+01,8.1643e+01,4.490730e-02,1.511604e-03,1.5187e-03,9.0363e-01,1671,1.2101e-03,3.011156e+03,4.690691e+04,2.665674e+01,5.073339e-01,2.2684e-01,1.0153e-01,5.8258e-05
219,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0289.fits",0.000000e+00,2.754057e-02,1.052115e-01,0.000000e+00,0.000000e+00,1606,1.0621e-03,1.5401e-03,1.6991e+00,2.7086e+00,4.8212e-01,8.4801e+01,8.1454e+01,4.486152e-02,1.512054e-03,1.5185e-03,9.0398e-01,1601,1.1994e-03,3.032127e+03,4.872970e+04,2.475476e+01,4.510003e-01,2.4987e-01,1.0090e-01,5.2835e-05
220,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0290.fits",0.000000e+00,2.661621e-02,1.050282e-01,0.000000e+00,0.000000e+00,1588,1.0628e-03,1.5418e-03,1.7022e+00,2.7399e+00,5.1780e-01,8.5041e+01,8.1204e+01,4.489204e-02,1.513080e-03,1.5195e-03,9.0402e-01,1585,1.2013e-03,3.031317e+03,4.912928e+04,2.396046e+01,4.248698e-01,2.3017e-01,9.3470e-02,5.2819e-05
221,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0291.fits",0.000000e+00,2.894036e-02,1.051610e-01,0.000000e+00,0.000000e+00,1669,1.0616e-03,1.5401e-03,1.7021e+00,2.6469e+00,5.3463e-01,8.5674e+01,8.0369e+01,4.486152e-02,1.511004e-03,1.5184e-03,9.0368e-01,1662,1.2224e-03,3.031122e+03,4.680195e+04,2.600790e+01,4.811565e-01,2.3888e-01,8.7747e-02,6.4057e-05
222,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0292.fits",0.000000e+00,2.740155e-02,1.052894e-01,0.000000e+00,0.000000e+00,1603,1.0618e-03,1.5406e-03,1.7048e+00,2.7201e+00,4.9125e-01,8.5881e+01,8.0025e+01,4.492255e-02,1.512886e-03,1.5192e-03,9.0396e-01,1596,1.2027e-03,3.034638e+03,4.886487e+04,2.461431e+01,4.473549e-01,2.4899e-01,9.3121e-02,5.1513e-05
223,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0296.fits",0.000000e+00,9.007535e-03,5.270253e-02,0.000000e+00,0.000000e+00,824,1.0634e-03,1.5441e-03,1.7252e+00,4.1985e+00,6.6556e-01,8.7677e+01,7.3862e+01,4.504463e-02,1.522446e-03,1.5205e-03,9.1034e-01,731,1.3212e-03,2.148800e+03,2.655830e+04,1.145308e+01,1.895646e-01,2.2536e-01,4.4005e-02,8.1735e-05
224,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0297.fits",0.000000e+00,8.188792e-03,3.535145e-02,0.000000e+00,0.000000e+00,809,1.0642e-03,1.5434e-03,1.7242e+00,3.3804e+00,4.7779e-01,8.8266e+01,6.8639e+01,4.501410e-02,1.520691e-03,1.5212e-03,9.1700e-01,524,1.3473e-03,1.760685e+03,2.795466e+04,1.272245e+01,2.432789e-01,3.2535e-01,8.8385e-02,8.4922e-05
225,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0298.fits",0.000000e+00,2.856739e-02,1.001732e-01,0.000000e+00,0.000000e+00,1691,1.0635e-03,1.5441e-03,1.7069e+00,2.6343e+00,4.5290e-01,8.8457e+01,6.5985e+01,4.513618e-02,1.516427e-03,1.5222e-03,9.0341e-01,1686,1.2167e-03,2.965696e+03,4.106658e+04,2.635105e+01,4.888593e-01,2.0872e-01,9.6272e-02,6.1281e-05
226,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0299.fits",0.000000e+00,2.108153e-02,1.019351e-01,0.000000e+00,0.000000e+00,1383,1.0647e-03,1.5462e-03,1.7140e+00,3.1218e+00,5.4493e-01,8.8677e+01,6.1848e+01,4.533454e-02,1.522520e-03,1.5240e-03,9.0427e-01,1381,1.2171e-03,2.995361e+03,4.795343e+04,1.929837e+01,3.117491e-01,1.9595e-01,6.8746e-02,5.8073e-05
227,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0300.fits",0.000000e+00,2.522778e-02,1.008190e-01,0.000000e+00,0.000000e+00,1556,1.0634e-03,1.5447e-03,1.7072e+00,2.8429e+00,4.4916e-01,8.9161e+01,4.2516e+01,4.525825e-02,1.519432e-03,1.5235e-03,9.0366e-01,1554,1.2132e-03,2.977779e+03,4.405487e+04,2.319356e+01,4.088099e-01,2.2870e-01,9.0477e-02,5.6736e-05
228,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0301.fits",0.000000e+00,2.631613e-02,9.916907e-02,0.000000e+00,0.000000e+00,1609,1.0650e-03,1.5470e-03,1.7068e+00,2.7211e+00,5.0094e-01,8.9287e+01,3.0087e+01,4.533455e-02,1.520252e-03,1.5246e-03,9.0415e-01,1605,1.2127e-03,2.955590e+03,4.264268e+04,2.443133e+01,4.360646e-01,2.2357e-01,8.9622e-02,5.6767e-05
229,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0302.fits",0.000000e+00,2.362176e-02,9.772919e-02,0.000000e+00,0.000000e+00,1500,1.0652e-03,1.5467e-03,1.7152e+00,2.8718e+00,4.3917e-01,8.9375e+01,9.7556e+00,4.547188e-02,1.523247e-03,1.5262e-03,9.0398e-01,1494,1.2134e-03,2.937000e+03,4.498953e+04,2.209383e+01,3.802217e-01,2.0934e-01,1.0769e-01,5.6345e-05
230,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0303.fits",0.000000e+00,2.197889e-02,9.694061e-02,0.000000e+00,0.000000e+00,1404,1.0662e-03,1.5487e-03,1.7291e+00,3.0660e+00,4.7419e-01,8.8014e+01,2.8873e+02,4.556344e-02,1.528051e-03,1.5269e-03,9.0504e-01,1401,1.2373e-03,2.926610e+03,5.041220e+04,2.065955e+01,3.616816e-01,1.8342e-01,8.4343e-02,6.4224e-05
231,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0304.fits",0.000000e+00,2.204383e-02,9.578351e-02,0.000000e+00,0.000000e+00,1424,1.0653e-03,1.5478e-03,1.7238e+00,2.9979e+00,4.8185e-01,8.7814e+01,2.8709e+02,4.559395e-02,1.528556e-03,1.5275e-03,9.0495e-01,1421,1.2294e-03,2.910124e+03,4.958029e+04,2.082811e+01,3.583704e-01,1.7913e-01,8.6723e-02,6.0354e-05
232,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0305.fits",0.000000e+00,2.281943e-02,9.444102e-02,0.000000e+00,0.000000e+00,1431,1.0661e-03,1.5484e-03,1.7281e+00,2.9516e+00,4.7835e-01,8.7581e+01,2.8556e+02,4.559396e-02,1.528278e-03,1.5279e-03,9.0499e-01,1428,1.2197e-03,2.890515e+03,4.905064e+04,2.173153e+01,3.921127e-01,1.7629e-01,8.3689e-02,5.7220e-05
233,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0306.fits",0.000000e+00,2.224184e-02,9.393911e-02,0.000000e+00,0.000000e+00,1447,1.0677e-03,1.5510e-03,1.7333e+00,2.9602e+00,5.3196e-01,8.6979e+01,2.8278e+02,4.591438e-02,1.532708e-03,1.5319e-03,9.0521e-01,1450,1.2347e-03,2.890352e+03,4.859229e+04,2.126811e+01,3.686915e-01,1.8410e-01,7.4972e-02,5.9467e-05
234,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0307.fits",0.000000e+00,2.213282e-02,9.426106e-02,0.000000e+00,0.000000e+00,1419,1.0672e-03,1.5511e-03,1.7323e+00,2.9879e+00,4.8893e-01,8.6774e+01,2.8209e+02,4.583810e-02,1.531626e-03,1.5307e-03,9.0512e-01,1415,1.2319e-03,2.892972e+03,4.963534e+04,2.111957e+01,3.720398e-01,1.8429e-01,7.9818e-02,6.2567e-05
235,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0308.fits",0.000000e+00,2.498996e-02,9.467873e-02,0.000000e+00,0.000000e+00,1559,1.0662e-03,1.5497e-03,1.7327e+00,2.8052e+00,4.9314e-01,8.6531e+01,2.8139e+02,4.582284e-02,1.530780e-03,1.5300e-03,9.0468e-01,1558,1.2321e-03,2.898100e+03,4.555110e+04,2.376901e+01,4.311411e-01,1.8023e-01,8.4265e-02,6.3608e-05
236,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0309.fits",0.000000e+00,2.262512e-02,9.375396e-02,0.000000e+00,0.000000e+00,1467,1.0695e-03,1.5543e-03,1.7284e+00,2.9175e+00,4.6482e-01,8.5888e+01,2.8000e+02,4.614328e-02,1.536414e-03,1.5351e-03,9.0519e-01,1464,1.2284e-03,2.893478e+03,4.823792e+04,2.169434e+01,3.775694e-01,1.6657e-01,8.5705e-02,6.3080e-05
237,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0310.fits",0.000000e+00,2.285665e-02,9.422232e-02,0.000000e+00,0.000000e+00,1460,1.0695e-03,1.5543e-03,1.7335e+00,2.9194e+00,5.0975e-01,8.5681e+01,2.7965e+02,4.615853e-02,1.537019e-03,1.5351e-03,9.0511e-01,1458,1.2258e-03,2.900655e+03,4.824123e+04,2.186006e+01,3.858765e-01,1.7486e-01,8.4103e-02,6.2080e-05
238,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0311.fits",0.000000e+00,2.369898e-02,9.413721e-02,0.000000e+00,0.000000e+00,1502,1.0708e-03,1.5544e-03,1.7333e+00,2.8682e+00,5.6774e-01,8.5439e+01,2.7929e+02,4.620432e-02,1.537453e-03,1.5363e-03,9.0484e-01,1498,1.2268e-03,2.901580e+03,4.640162e+04,2.270458e+01,4.066669e-01,1.6694e-01,6.5285e-02,5.9926e-05
239,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0312.fits",0.000000e+00,2.348448e-02,9.206227e-02,0.000000e+00,0.000000e+00,1492,1.0713e-03,1.5568e-03,1.7858e+00,2.8434e+00,4.5875e-01,8.4815e+01,2.7857e+02,4.644846e-02,1.566374e-03,1.5398e-03,8.9336e-01,1491,1.2344e-03,2.876043e+03,4.665038e+04,2.276182e+01,4.102686e-01,1.5857e-01,9.7608e-02,6.0214e-05
240,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0313.fits",0.000000e+00,2.261936e-02,9.208745e-02,0.000000e+00,0.000000e+00,1463,1.0731e-03,1.5586e-03,1.7404e+00,2.9167e+00,5.0952e-01,8.4606e+01,2.7837e+02,4.652476e-02,1.543606e-03,1.5411e-03,9.0521e-01,1458,1.2384e-03,2.878956e+03,4.733100e+04,2.195775e+01,3.895320e-01,1.7704e-01,7.9171e-02,6.2022e-05
241,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0314.fits",0.000000e+00,2.488710e-02,9.091275e-02,0.000000e+00,0.000000e+00,1577,1.0746e-03,1.5591e-03,1.7397e+00,2.7352e+00,5.3030e-01,8.4360e+01,2.7817e+02,4.661631e-02,1.543475e-03,1.5428e-03,9.0523e-01,1575,1.2340e-03,2.863597e+03,4.467109e+04,2.434665e+01,4.453588e-01,1.6525e-01,8.1867e-02,6.3201e-05
242,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0315.fits",0.000000e+00,2.488186e-02,9.037195e-02,0.000000e+00,0.000000e+00,1546,1.0730e-03,1.5586e-03,1.7430e+00,2.7471e+00,5.4450e-01,8.3763e+01,2.7777e+02,4.672312e-02,1.545650e-03,1.5447e-03,9.0547e-01,1544,1.2418e-03,2.858666e+03,4.440739e+04,2.437853e+01,4.572215e-01,1.6239e-01,7.9042e-02,6.0122e-05
243,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0316.fits",0.000000e+00,2.352691e-02,9.074851e-02,0.000000e+00,0.000000e+00,1497,1.0760e-03,1.5611e-03,1.7452e+00,2.8166e+00,4.7121e-01,8.3554e+01,2.7765e+02,4.686045e-02,1.548416e-03,1.5466e-03,9.0543e-01,1493,1.2300e-03,2.868017e+03,4.607146e+04,2.306695e+01,4.183557e-01,1.6988e-01,1.0389e-01,5.7177e-05
244,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0317.fits",0.000000e+00,2.257490e-02,9.199656e-02,0.000000e+00,0.000000e+00,1487,1.0744e-03,1.5594e-03,1.7461e+00,2.8803e+00,5.2815e-01,8.3305e+01,2.7753e+02,4.684519e-02,1.548937e-03,1.5465e-03,9.0537e-01,1482,1.2255e-03,2.887555e+03,4.663834e+04,2.195121e+01,3.796424e-01,1.4245e-01,8.5269e-02,5.5386e-05
245,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0318.fits",0.000000e+00,2.405957e-02,8.959601e-02,0.000000e+00,0.000000e+00,1522,1.0786e-03,1.5640e-03,1.7502e+00,2.7839e+00,4.3974e-01,8.2699e+01,2.7730e+02,4.715037e-02,1.554798e-03,1.5521e-03,9.0563e-01,1518,1.2396e-03,2.859995e+03,4.513117e+04,2.379771e+01,4.411432e-01,1.7361e-01,1.1502e-01,5.9335e-05
246,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0319.fits",0.000000e+00,2.478859e-02,8.856378e-02,0.000000e+00,0.000000e+00,1562,1.0793e-03,1.5649e-03,1.7441e+00,2.7372e+00,5.6047e-01,8.2489e+01,2.7723e+02,4.713511e-02,1.554621e-03,1.5524e-03,9.0559e-01,1560,1.2393e-03,2.844036e+03,4.447372e+04,2.467839e+01,4.657574e-01,1.6695e-01,6.8851e-02,6.3368e-05
247,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0320.fits",0.000000e+00,2.547646e-02,8.989191e-02,0.000000e+00,0.000000e+00,1572,1.0796e-03,1.5648e-03,1.7457e+00,2.7064e+00,5.0034e-01,8.2239e+01,2.7717e+02,4.725718e-02,1.556939e-03,1.5549e-03,9.0580e-01,1570,1.2431e-03,2.869792e+03,4.359551e+04,2.518138e+01,4.816125e-01,1.6227e-01,9.9948e-02,6.0884e-05
248,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0321.fits",0.000000e+00,2.521738e-02,8.919596e-02,0.000000e+00,0.000000e+00,1613,1.0825e-03,1.5687e-03,1.7516e+00,2.6751e+00,4.4730e-01,8.1637e+01,2.7704e+02,4.750133e-02,1.562277e-03,1.5600e-03,9.0585e-01,1608,1.2469e-03,2.868031e+03,4.319093e+04,2.509119e+01,4.625892e-01,1.4925e-01,9.9269e-02,6.3932e-05
249,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0322.fits",0.000000e+00,2.537923e-02,8.696110e-02,0.000000e+00,0.000000e+00,1600,1.0858e-03,1.5728e-03,1.7469e+00,2.6427e+00,4.5041e-01,8.1428e+01,2.7701e+02,4.766918e-02,1.567667e-03,1.5646e-03,9.0579e-01,1594,1.2436e-03,2.840260e+03,4.319494e+04,2.565181e+01,4.885233e-01,1.6222e-01,1.0409e-01,5.8547e-05
250,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0323.fits",0.000000e+00,2.467189e-02,8.711509e-02,0.000000e+00,0.000000e+00,1565,1.0862e-03,1.5727e-03,1.7534e+00,2.7001e+00,5.1449e-01,8.1176e+01,2.7698e+02,4.779126e-02,1.571388e-03,1.5669e-03,9.0599e-01,1559,1.2389e-03,2.846999e+03,4.288523e+04,2.492433e+01,4.694117e-01,1.5922e-01,7.6002e-02,5.6507e-05
251,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0324.fits",0.000000e+00,2.413725e-02,8.759639e-02,0.000000e+00,0.000000e+00,1547,1.0886e-03,1.5760e-03,1.7550e+00,2.7533e+00,4.8124e-01,8.0565e+01,2.7693e+02,4.789806e-02,1.574362e-03,1.5698e-03,9.0607e-01,1544,1.2429e-03,2.860091e+03,4.353816e+04,2.437066e+01,4.553149e-01,1.3627e-01,8.8709e-02,5.8174e-05
252,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0325.fits",0.000000e+00,2.583991e-02,8.569916e-02,0.000000e+00,0.000000e+00,1620,1.0897e-03,1.5760e-03,1.7521e+00,2.6170e+00,4.7276e-01,8.0356e+01,2.7691e+02,4.794384e-02,1.575161e-03,1.5709e-03,9.0626e-01,1610,1.2446e-03,2.831009e+03,4.251879e+04,2.640217e+01,5.148729e-01,1.3441e-01,1.0046e-01,5.9712e-05
253,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0326.fits",0.000000e+00,2.504154e-02,8.639703e-02,0.000000e+00,0.000000e+00,1572,1.0909e-03,1.5776e-03,1.7533e+00,2.6901e+00,5.8424e-01,8.0105e+01,2.7691e+02,4.798962e-02,1.577050e-03,1.5725e-03,9.0595e-01,1566,1.2521e-03,2.845272e+03,4.250566e+04,2.551270e+01,4.945356e-01,1.4824e-01,6.2230e-02,6.1212e-05
254,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0327.fits",0.000000e+00,2.369190e-02,8.610103e-02,0.000000e+00,0.000000e+00,1535,1.0946e-03,1.5812e-03,1.7511e+00,2.7496e+00,5.3488e-01,7.9482e+01,2.7691e+02,4.820324e-02,1.583622e-03,1.5776e-03,9.0655e-01,1528,1.2540e-03,2.849652e+03,4.342998e+04,2.426060e+01,4.543335e-01,1.4646e-01,7.5977e-02,5.8275e-05
255,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0328.fits",0.000000e+00,2.565994e-02,8.388546e-02,0.000000e+00,0.000000e+00,1590,1.0959e-03,1.5834e-03,1.7502e+00,2.6293e+00,4.3977e-01,7.9273e+01,2.7691e+02,4.843213e-02,1.589698e-03,1.5831e-03,9.0696e-01,1584,1.2593e-03,2.822639e+03,4.245824e+04,2.665124e+01,5.379178e-01,1.4516e-01,1.1516e-01,6.2178e-05
256,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0329.fits",0.000000e+00,2.120313e-02,8.461217e-02,0.000000e+00,0.000000e+00,1419,1.1010e-03,1.5896e-03,1.7516e+00,2.9110e+00,4.8619e-01,7.9022e+01,2.7692e+02,4.855420e-02,1.594238e-03,1.5870e-03,9.0766e-01,1420,1.2595e-03,2.841670e+03,4.652452e+04,2.202945e+01,4.044291e-01,1.6161e-01,1.1043e-01,5.8742e-05
257,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0330.fits",0.000000e+00,2.509738e-02,8.076953e-02,0.000000e+00,0.000000e+00,1606,1.1095e-03,1.6004e-03,1.7469e+00,2.5845e+00,4.7488e-01,7.8420e+01,2.7696e+02,4.893567e-02,1.605868e-03,1.5970e-03,9.0544e-01,1601,1.2787e-03,2.794022e+03,4.118668e+04,2.689443e+01,5.392882e-01,1.2967e-01,9.6562e-02,6.6843e-05
258,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0331.fits",0.000000e+00,2.422641e-02,8.125882e-02,0.000000e+00,0.000000e+00,1597,1.1110e-03,1.6010e-03,1.7447e+00,2.6002e+00,5.1463e-01,7.8211e+01,2.7698e+02,4.898146e-02,1.606417e-03,1.5981e-03,9.0745e-01,1593,1.2724e-03,2.804292e+03,4.124610e+04,2.591941e+01,4.942150e-01,1.5251e-01,8.3719e-02,6.1305e-05
259,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0332.fits",0.000000e+00,2.524428e-02,8.115984e-02,0.000000e+00,0.000000e+00,1606,1.1147e-03,1.6054e-03,1.7454e+00,2.5875e+00,5.5058e-01,7.7958e+01,2.7700e+02,4.914930e-02,1.614547e-03,1.6030e-03,9.0575e-01,1598,1.2750e-03,2.811259e+03,4.041072e+04,2.711413e+01,5.468528e-01,1.2773e-01,7.1334e-02,6.0609e-05
260,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0333.fits",0.000000e+00,2.515054e-02,7.794812e-02,0.000000e+00,0.000000e+00,1630,1.1234e-03,1.6178e-03,1.7436e+00,2.5097e+00,4.9050e-01,7.7334e+01,2.7707e+02,4.956129e-02,1.624300e-03,1.6134e-03,9.0848e-01,1624,1.2771e-03,2.772978e+03,4.001297e+04,2.777886e+01,5.614189e-01,1.4723e-01,1.1454e-01,5.7188e-05
261,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0334.fits",0.000000e+00,2.457871e-02,7.924656e-02,0.000000e+00,0.000000e+00,1600,1.1250e-03,1.6197e-03,1.7615e+00,2.5608e+00,5.0321e-01,7.7125e+01,2.7710e+02,4.954604e-02,1.634375e-03,1.6133e-03,9.0019e-01,1594,1.2870e-03,2.795793e+03,4.061064e+04,2.696430e+01,5.399464e-01,1.4103e-01,9.5587e-02,6.2372e-05
