----------------------------------------------------------------------
--------------N.I.N.A. - Nighttime Imaging 'N' Astronomy--------------
--------------------------Version 3.1.2.9001--------------------------
-------------------------2025-07-12T22:46:29--------------------------
----------------------------------------------------------------------
---------------------Microsoft Windows 10.0.26100---------------------
-------------------------OS Architecture X64--------------------------
-----------------------Process Architecture X64-----------------------
------------------------------.NET 8.0.8------------------------------
----------------------------------------------------------------------
--------------------------Processor Count 4---------------------------
--------------------Total Physical Memory 7.75 GB---------------------
----------------------------------------------------------------------
DATE|LEVEL|SOURCE|MEMBER|LINE|MESSAGE
2025-07-12T22:48:00.1390|INFO|AscomTelescope.cs|CheckMountTime|817|Mount UTC Time: 2025-07-13 02:47:59Z / System UTC Time: 2025-07-13 02:48:00Z; Difference: 1.139 seconds
2025-07-12T22:48:00.2295|INFO|AscomTelescope.cs|CheckMountTime|824|System time has been synced to the mount
2025-07-12T22:48:00.7054|INFO|TelescopeVM.cs|ChooseTelescope|518|Successfully connected mount. Id: ASCOM.ASIMount.Telescope Name: ASI Mount DisplayName: ASI Mount Driver Version: 6.5.15.0
2025-07-12T22:48:00.7115|INFO|FocuserVM.cs|Disconnect|426|Disconnected Focuser
2025-07-12T22:48:01.1418|INFO|CameraVM.cs|CoolCamera|139|Cooling Camera. Target: 0 Duration: 00:00:00
2025-07-12T22:48:01.1420|INFO|FocuserVM.cs|ChooseFocuser|324|Successfully connected Focuser. Id: ASCOM.PegasusAstroFocuser 1 Name: PegasusAstro Focuser 1 DisplayName: PegasusAstro Focuser 1 Driver Version: 2.10.4752.497
2025-07-12T22:48:01.1514|INFO|RotatorVM.cs|Disconnect|438|Disconnected Rotator
2025-07-12T22:48:02.4777|INFO|RotatorVM.cs|Connect|398|Successfully connected Rotator. Id: ASCOM.PegasusAstro.Rotator 1 Name: PegasusAstro Rotator 1 DisplayName: PegasusAstro Rotator 1 Driver Version: 2.10.4752.497
2025-07-12T22:48:02.4926|INFO|PHD2Guider.cs|Connect|202|Connecting to PHD2 server at 127.0.0.1:4400
2025-07-12T22:48:03.7274|INFO|FlatDeviceVM.cs|Disconnect|279|Disconnected Flat Device
2025-07-12T22:48:06.7407|INFO|FlatDeviceVM.cs|Connect|234|Successfully connected flat device. Id: ASCOM.WandererCover1.CoverCalibrator Name: WandererEmpire Device 1 DisplayName: WandererEmpire Device 1 Driver Version: 2.0
2025-07-12T22:48:06.7469|INFO|WeatherDataVM.cs|Disconnect|292|Disconnected Weather Device
2025-07-12T22:48:06.9057|INFO|AscomDevice.cs|GetProperty|379|Property ObservingConditions.CloudCover GET is not implemented in this driver (PegasusAstro ObservingConditions 1)
2025-07-12T22:48:06.9175|INFO|AscomDevice.cs|GetProperty|379|Property ObservingConditions.Pressure GET is not implemented in this driver (PegasusAstro ObservingConditions 1)
