DATE,MESSAGE,ROLE,EVENT_ID,TYPE
45859.99,"Finishing Category: Guider, Item: StartGuiding",StartGuiding,88,end
45859.99,"Starting Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 30, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,89,start
45859.99,"Finishing Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 30, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,89,end
45859.99,"Starting Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: L",SwitchFilter,91,start
45859.99,"Finishing Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: L",SwitchFilter,91,end
45859.99,"Starting Category: Guider, Item: StartGuiding",StartGuiding,93,start
45859.99,"Finishing Category: Guider, Item: StartGuiding",StartGuiding,93,end
45859.99,"Starting Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 60, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,94,start
45859.99,"Finishing Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 60, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,94,end
45859.99,"Starting Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: L",SwitchFilter,95,start
45859.99,"Finishing Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: L",SwitchFilter,95,end
45859.99,"Starting Category: Guider, Item: StartGuiding",StartGuiding,97,start
45859.99,"Finishing Category: Guider, Item: StartGuiding",StartGuiding,97,end
45859.99,"Starting Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 60, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,98,start
45859.99,"Finishing Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 60, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,98,end
45859.99,"Starting Category: Guider, Item: Dither",Dither,99,start
45859.99,"Finishing Category: Guider, Item: Dither",Dither,99,end
45859.99,"Starting Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: L",SwitchFilter,101,start
45859.99,"Finishing Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: L",SwitchFilter,101,end
45859.99,"Starting Category: Guider, Item: StartGuiding",StartGuiding,103,start
45859.99,"Finishing Category: Guider, Item: StartGuiding",StartGuiding,103,end
45859.99,"Starting Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 60, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,104,start
45859.99,"Finishing Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 60, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,104,end
